Time - Plot 0,Amplitude - Plot 0
0.03972,0.4
0.03974,0.48
0.03976,0.32
0.03978,0.48
0.0398,0.24
0.03982,0.48
0.03984,0.24
0.03986,0.4
0.03988,0.16
0.0399,0.4
0.03992,0.08
0.03994,0.32
0.03996,0
0.03998,0.24
0.04,0
0.04002,0.16
0.04004,0
0.04006,0.16
0.04008,-0.08
0.0401,0.08
0.04012,-0.16
0.04014,0.08
0.04016,-0.24
0.04018,0
0.0402,-0.24
0.04022,-0.08
0.04024,-0.32
0.04026,-0.16
0.04028,-0.32
0.0403,-0.24
0.04032,-0.4
0.04034,-0.24
0.04036,-0.4
0.04038,-0.32
0.0404,-0.48
0.04042,-0.4
0.04044,-0.56
0.04046,-0.4
0.04048,-0.56
0.0405,-0.48
0.04052,-0.64
0.04054,-0.48
0.04056,-0.72
0.04058,-0.56
0.0406,-0.72
0.04062,-0.64
0.04064,-0.72
0.04066,-0.64
0.04068,-0.8
0.0407,-0.72
0.04072,-0.88
0.04074,-0.72
0.04076,-0.96
0.04078,-0.8
0.0408,-0.96
0.04082,-0.88
0.04084,-0.96
0.04086,-0.88
0.04088,-1.04
0.0409,-0.96
0.04092,-1.12
0.04094,-0.96
0.04096,-1.12
0.04098,-1.04
0.041,-1.2
0.04102,-1.04
0.04104,-1.2
0.04106,-1.12
0.04108,-1.2
0.0411,-1.12
0.04112,-1.28
0.04114,-1.2
0.04116,-1.36
